Timestamp; Read by consumer; Remaining in queue
558842;1000;1808
559852;1000;2274
560866;1000;1880
561877;1000;1658
562891;1000;1112
563904;1000;1854
564917;1000;1381
565930;1000;1759
566940;1000;1846
567950;1000;1824
568957;1000;2184
569968;1000;2581
570978;1000;2857
571992;1000;3054
573006;1000;5848
574019;1000;7272
575032;1000;7152
576040;1000;7407
577050;1000;7066
578059;1000;8242
579058;1000;9047
580071;1000;9033
581084;1000;8776
582089;1000;10515
583089;1000;11447
584099;1000;11682
585109;1000;12427
586121;1000;13144
587133;1000;12915
588145;1000;12662
589156;1000;14406
590171;1000;13709
591185;1000;14188
592199;1000;14036
593214;1000;13943
594215;1000;15022
595226;1000;15834
596239;1000;15914
597253;1000;16138
598268;1000;15893
599282;1000;16074
600293;1000;15908
601307;1000;16746
602320;1000;16619
603332;1000;16915
604339;1000;16277
605339;1000;16701
606349;1000;18632
607363;1000;18081
608364;1000;18479
609378;1000;19414
610389;1000;19008
611399;1000;19948
612409;1000;19793
613425;1000;20383
614436;1000;20504
615449;1000;20174
616457;1000;20490
617465;1000;22333
618470;1000;21799
619479;1000;21470
620479;1000;21279
621482;1000;22207
622495;1000;22049
623506;1000;22764
624520;1000;22300
625520;1000;22284
626525;1000;22988
627536;1000;23511
628536;1000;23213
629543;1000;23461
630556;1000;23088
631572;1000;23534
632585;1000;24155
633600;1000;23866
634611;1000;23705
635623;1000;24350
636637;1000;24628
637651;1000;24000
638664;1000;24217
639678;1000;23749
640692;1000;23830
641702;1000;24611
642715;1000;24663
643724;1000;25257
644731;1000;26398
645740;1000;26576
646747;1000;27376
647762;1000;27711
648768;1000;27685
649770;1000;27961
650785;1000;27911
651786;1000;28986
652800;1000;29442
653806;1000;29647
654808;1000;30334
655820;1000;30152
656835;1000;29989
657839;1000;30278
658855;1000;29832
659860;1000;31065
660860;1000;30610
661871;1000;30430
662873;1000;30807
663883;1000;31055
664896;1000;32425
665910;1000;31866
666917;1000;31736
667922;1000;31482
668937;1000;31322
669949;1000;30948
670962;1000;32131
671963;1000;31920
672975;1000;31461
673986;1000;32284
674995;1000;32283
676009;1000;31883
677023;1000;31821
678035;1000;32089
679046;1000;32627
680059;1000;33848
681072;1000;33382
682075;1000;33289
683077;1000;33136
684083;1000;32931
685086;1000;33666
686096;1000;33859
687097;1000;33186
688098;1000;33533
689106;1000;35616
690111;1000;35504
691125;1000;34991
692137;1000;36293
693152;1000;36512
694163;1000;36452
695164;1000;36748
696178;1000;36115
697186;1000;37723
698187;1000;37230
699199;1000;37062
700213;1000;36986
701229;1000;37481
702242;1000;38551
703251;1000;39411
704260;1000;40744
705261;1000;41605
706273;1000;41315
707287;1000;42188
708300;1000;41666
709314;1000;43230
710315;1000;42928
711316;1000;42774
712327;1000;42164
713339;1000;41983
714353;1000;42148
715355;1000;41668
716368;1000;42665
717379;1000;42423
718394;1000;41775
719407;1000;42144
720418;1000;43350
721427;1000;43024
722429;1000;43384
723443;1000;43687
724456;1000;44215
725459;1000;43804
726471;1000;44767
727482;1000;45267
728494;1000;46606
729507;1000;47140
730519;1000;46907
731532;1000;47232
732545;1000;48457
733555;1000;48944
734564;1000;48277
735571;1000;48271
736586;1000;49046
737599;1000;49194
738599;1000;49037
739611;1000;49310
740618;1000;49069
741625;1000;48372
742635;1000;48088
743650;1000;48525
744661;1000;48989
745674;1000;48454
746689;1000;49122
747704;1000;49493
748714;1000;50383
749728;1000;52359
750740;1000;53721
751742;1000;55120
752758;1000;55950
753769;1000;57525
754778;1000;57440
755791;1000;58514
756800;1000;57843
757801;1000;57508
758806;1000;58085
759807;1000;58982
760820;1000;59501
761831;1000;59370
762842;1000;58915
763844;1000;59729
764845;1000;59244
765849;1000;58678
766857;1000;58869
767867;1000;58872
768868;1000;58926
769879;1000;58268
770893;1000;59865
771896;1000;60215
772896;1000;59938
773898;1000;60747
774903;1000;61421
775917;1000;61260
776919;1000;62379
777930;1000;63431
778943;1000;63310
779952;1000;63024
780965;1000;63665
781980;1000;63543
782980;1000;63586
783992;1000;64353
784992;1000;63897
786001;1000;65419
