Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
195537;20;55;81;15914;;30462
195883;20;55;81;15831;;30545
196051;24;46;91;15349;;30545
196897;24;46;91;15186;;30708
197076;24;35;53;14597;;30708
197902;24;35;53;14597;;30708
198091;34;39;60;14045;;30708
198603;62;123;143;14548;;30708
198910;62;123;143;14548;;30708
199120;40;71;107;14351;;30708
199910;40;71;107;14351;;30708
200133;37;81;103;14082;;30708
200923;37;81;103;14082;;30708
201160;56;108;126;14013;;30708
201673;77;165;197;14387;;30708
201933;77;165;197;14387;;30708
202186;46;87;127;14437;;30708
202957;46;87;127;14109;;31036
203196;47;106;156;14060;;31036
203711;63;140;203;14294;;31036
203958;63;140;203;14294;;31036
204225;26;52;65;14039;;31036
204978;26;52;65;13762;;31313
205249;39;84;124;13424;;31313
205978;39;84;124;13424;;31313
206276;61;86;142;13382;;31313
206781;106;187;288;14074;;31313
207020;106;187;288;12912;;32475
207793;39;110;132;13212;;32475
208022;39;110;132;12394;;33293
208306;35;65;86;12094;;33293
208821;61;131;212;12538;;33293
209007;61;131;212;12538;;33293
209322;40;121;151;12630;;33293
209836;95;224;293;13330;;33293
210018;95;224;293;13330;;33293
210346;50;100;150;13642;;33293
210850;72;155;237;14008;;33293
211034;72;155;237;14008;;33293
211363;58;98;142;14174;;33293
211863;94;179;275;14780;;33293
212037;94;179;275;14721;;33352
212892;49;119;135;14966;;33352
213063;49;119;135;14596;;33722
213409;28;54;97;14377;;33722
213909;44;122;191;14821;;33722
214060;44;122;191;14821;;33722
214422;19;36;42;14412;;33722
214922;54;96;133;14805;;33722
215074;54;96;133;14805;;33722
215949;23;62;80;14522;;33722
216087;23;62;80;14522;;33722
216977;39;82;126;14329;;33722
217097;39;82;126;14329;;33722
217491;24;52;82;13953;;33722
218112;24;52;82;13953;;33722
218518;46;111;151;13803;;33722
219033;55;128;177;13907;;33722
219125;55;128;177;13907;;33722
219531;16;38;38;13504;;33722
220048;63;155;170;14208;;33722
220124;63;155;170;14208;;33722
220564;23;58;98;13997;;33722
221065;66;158;263;14689;;33722
221136;66;158;263;14689;;33722
221575;54;88;146;14888;;33722
222076;100;175;296;15605;;33722
222153;100;175;296;15605;;33722
222592;46;86;192;15852;;33722
223092;81;156;301;16357;;33722
223153;81;156;301;16357;;33722
223595;29;46;63;16151;;33722
224108;62;85;129;16453;;33722
224153;62;85;129;16453;;33722
225126;38;83;123;16302;;33722
225154;38;83;123;16302;;33722
226140;50;109;135;16252;;33722
226167;50;109;135;16252;;33722
226650;7;21;26;15686;;33722
227164;35;99;104;16113;;33722
227166;35;99;104;16113;;33722
227664;13;39;85;15671;;33722
228178;13;39;85;15671;;33722
228181;50;105;214;16227;;33722
228687;36;74;127;16169;;33722
229196;36;74;127;16008;;33883
229200;79;159;288;16719;;33883
229710;50;112;149;16934;;33883
230258;50;112;149;15700;;35117
230262;63;130;170;15811;;35117
230767;46;88;154;15886;;35117
231232;46;88;154;15547;;35456
231281;19;113;204;15784;;35456
231797;67;66;119;15680;;35456
232227;67;66;119;15680;;35456
232296;31;74;217;16109;;35456
232806;60;142;108;15988;;35456
233249;60;142;108;15768;;35676
