Timestamp; Read by categoriser; Remaining in queue
240461;1000;0
240974;1000;0
241472;1000;0
241981;1000;0
242483;1000;985
242993;1000;906
243494;1000;0
244006;1000;1427
244508;1000;427
245022;1000;407
245523;1000;0
246035;1000;0
246535;1000;0
247045;1000;0
247546;1000;1316
248060;1000;655
248575;1000;1454
249088;1000;1056
249602;1000;56
250103;1000;644
250602;1000;0
251116;1000;0
251628;1000;0
252140;1000;0
252639;1000;0
253151;1000;0
253664;1000;0
254178;1000;0
254693;1000;231
255207;1000;0
255719;1000;0
256231;1000;0
256746;1000;0
257261;1000;0
257775;1000;0
258289;1000;0
258801;1000;0
259314;1000;0
259814;1000;87
260330;1000;0
260844;1000;0
261344;1000;0
261858;1000;663
262372;1000;0
262872;1000;0
263382;1000;0
263897;1000;0
264410;1000;0
264925;1000;0
265426;1000;0
265938;1000;1565
266452;1000;1046
266967;1000;1529
267469;1000;897
267969;1000;743
268472;1000;0
268976;1000;0
269477;1000;0
269981;1000;0
270482;1000;0
270997;1000;0
271496;1000;0
272002;1000;0
272518;1000;0
273021;1000;0
273525;1000;0
274031;1000;0
274535;1000;0
275039;1000;0
275542;1000;0
276045;1000;0
276548;1000;0
277053;1000;0
277557;1000;0
278057;1000;0
278570;1000;0
279084;1000;0
279600;1000;0
280113;1000;0
280626;1000;0
281139;1000;0
281639;1000;0
282140;1000;0
282654;1000;0
283168;1000;0
283668;1000;0
284183;1000;0
284686;1000;0
285202;1000;0
285704;1000;0
286218;1000;0
286733;1000;0
287231;1000;0
287747;1000;0
288261;1000;0
288775;1000;0
289290;1000;0
289790;1000;0
290293;1000;0
290805;1000;0
291318;1000;0
291819;1000;0
292319;1000;0
292831;1000;0
293345;1000;0
293859;1000;0
294359;1000;0
294859;1000;0
295360;1000;0
295863;1000;0
296373;1000;0
296886;1000;0
297397;1000;0
297911;1000;0
298423;1000;0
298923;1000;0
299437;1000;0
299938;1000;0
300441;1000;0
300942;1000;0
301445;1000;0
301946;1000;0
302460;1000;0
302974;1000;0
303474;1000;0
303973;1000;0
304487;1000;0
304993;1000;0
305504;1000;0
306006;1000;0
306521;1000;0
307034;1000;0
307546;1000;0
308061;1000;0
308576;1000;0
309089;1000;0
309602;1000;0
310116;1000;0
310630;1000;0
311132;1000;0
311643;1000;0
312146;1000;0
312656;1000;0
313157;1000;0
313668;1000;0
314169;1000;0
314678;1000;0
315177;1000;0
315693;1000;0
316206;1000;0
316720;1000;0
317232;1000;0
317744;1000;0
318259;1000;0
318773;1000;0
319287;1000;0
319801;1000;0
320315;1000;0
320818;1000;0
321333;1000;0
321847;1000;0
322348;1000;0
322855;1000;0
323358;1000;0
323872;1000;0
324386;1000;0
324885;1000;0
325401;1000;0
325914;1000;0
326415;1000;0
326917;1000;0
327429;1000;0
327931;1000;0
328431;1000;0
328934;1000;0
329447;1000;0
329948;1000;0
330447;1000;0
330962;1000;0
331477;1000;0
331976;1000;0
332491;1000;0
332992;1000;0
333507;1000;0
334021;1000;0
334534;1000;0
335048;1000;0
335558;1000;0
336073;1000;0
336587;1000;0
337099;1000;0
337613;1000;0
338125;1000;0
338639;1000;0
339139;1000;0
339653;1000;0
340164;1000;0
340680;1000;0
341191;1000;0
341704;1000;0
342218;1000;0
342731;1000;0
343248;1000;0
343764;1000;0
344277;1000;0
344780;1000;0
345285;1000;0
345797;1000;0
346309;1000;0
346821;1000;0
347323;1000;0
347836;1000;0
348351;1000;0
348866;1000;0
349380;1000;0
349892;1000;0
350405;1000;0
350908;1000;0
351423;1000;0
351937;1000;0
352438;1000;0
352951;1000;0
353453;1000;0
353967;1000;0
354480;1000;0
354994;1000;0
355494;1000;0
356008;1000;0
356508;1000;0
357008;1000;0
357508;1000;0
358024;1000;0
358526;1000;0
359039;1000;0
359541;1000;0
360047;1000;0
360559;1000;0
361075;1000;0
361585;1000;0
362094;1000;0
362594;1000;0
363109;1000;0
363608;1000;0
364108;1000;0
364620;1000;0
365134;1000;0
365635;1000;0
366146;1000;0
366646;1000;0
367149;1000;0
367651;1000;0
368162;1000;0
368665;1000;0
369179;1000;0
369695;1000;0
370205;1000;0
370707;1000;0
371219;1000;0
371719;1000;0
372229;1000;0
372729;1000;0
373241;1000;0
373741;1000;0
374252;1000;0
374754;1000;0
375264;1000;0
375764;1000;0
376277;1000;0
376778;1000;0
377289;1000;0
377788;1000;0
378301;1000;0
378802;1000;0
379315;1000;0
379816;1000;0
380317;1000;0
380821;1000;0
381333;1000;0
381834;1000;0
382343;1000;0
382843;1000;0
383355;1000;0
383856;1000;0
384367;1000;0
384867;1000;0
385382;1000;0
385892;1000;0
386404;1000;0
386904;1000;0
387417;1000;0
387915;1000;0
388416;1000;0
388929;1000;0
389446;1000;0
389958;1000;0
390474;1000;0
390974;1000;0
391486;1000;0
392000;1000;0
392514;1000;0
393029;1000;0
393543;1000;0
394057;1000;0
394561;1000;0
395077;1000;0
395577;1000;0
396088;1000;0
396604;1000;0
397118;1000;0
397618;1000;0
398131;1000;0
398632;1000;0
399147;1000;0
399660;1000;0
400174;1000;0
400687;1000;0
401200;1000;0
401701;1000;0
402212;1000;0
402725;1000;0
403241;1000;0
403755;1000;0
404256;1000;0
404762;1000;0
405264;1000;0
405763;1000;0
406277;1000;0
406790;1000;0
407304;1000;0
407804;1000;0
408317;1000;0
408828;1000;0
409340;1000;0
409854;1000;0
410368;1000;0
410881;1000;0
411397;1000;0
411901;1000;0
412407;1000;0
412920;1000;0
413434;1000;0
413935;1000;0
414450;1000;0
414951;1000;0
415464;1000;0
415981;1000;0
416493;1000;0
417009;1000;0
417522;1000;0
418037;1000;0
418614;1000;0
419129;1000;0
419642;1000;0
420143;1000;0
420646;1000;0
421148;1000;0
421661;1000;0
422172;1000;0
422674;1000;0
423175;1000;0
423679;1000;0
424192;1000;0
424706;1000;0
425219;1000;0
425732;1000;0
426246;1000;0
426761;1000;0
427276;1000;0
427776;1000;0
428275;1000;0
428786;1000;0
429289;1000;0
429800;1000;0
430303;1000;0
430811;1000;0
431310;1000;0
431823;1000;0
432324;1000;0
432837;1000;0
433336;1000;0
433847;1000;0
434348;1000;0
434857;1000;0
435359;1000;0
435871;1000;0
436373;1000;0
436885;1000;0
437385;1000;0
437896;1000;0
438399;1000;0
438908;1000;0
439407;1000;0
439916;1000;0
440419;1000;0
440919;1000;0
441422;1000;0
