Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
76848;1;1;533;533;97;2;0.5;267;703;207;3;0.25;133;629;144;4;0.125;67;552;552;0;0;0;0
77814;1;1;533;533;89;2;0.5;267;711;179;3;0.25;133;665;298;4;0.125;67;434;434;0;0;0;0
78814;1;1;533;533;20;2;0.5;267;780;52;3;0.25;133;861;58;4;0.125;67;870;870;0;0;0;0
79827;1;1;533;533;82;2;0.5;267;718;154;3;0.25;133;697;239;4;0.125;67;525;525;0;0;0;0
80833;1;1;533;533;40;2;0.5;267;760;101;3;0.25;133;792;127;4;0.125;67;732;732;0;0;0;0
81840;1;1;533;533;23;2;0.5;267;777;37;3;0.25;133;873;61;4;0.125;67;879;879;0;0;0;0
82843;1;1;533;533;63;2;0.5;267;737;164;3;0.25;133;706;232;4;0.125;67;541;541;0;0;0;0
83853;1;1;533;533;70;2;0.5;267;730;126;3;0.25;133;737;209;4;0.125;67;595;595;0;0;0;0
84850;1;1;533;533;43;2;0.5;267;757;92;3;0.25;133;798;167;4;0.125;67;698;698;0;0;0;0
85860;1;1;533;533;46;2;0.5;267;754;107;3;0.25;133;780;137;4;0.125;67;710;710;0;0;0;0
86865;1;1;533;533;38;2;0.5;267;762;58;3;0.25;133;837;130;4;0.125;67;774;774;0;0;0;0
87875;1;1;533;533;30;2;0.5;267;770;68;3;0.25;133;835;97;4;0.125;67;805;805;0;0;0;0
88889;1;1;533;533;78;2;0.5;267;722;186;3;0.25;133;669;232;4;0.125;67;504;504;0;0;0;0
89888;1;1;533;533;13;2;0.5;267;787;43;3;0.25;133;877;61;4;0.125;67;883;883;0;0;0;0
90902;1;1;533;533;72;2;0.5;267;728;108;3;0.25;133;753;210;4;0.125;67;610;610;0;0;0;0
91916;1;1;533;533;21;2;0.5;267;779;23;3;0.25;133;889;48;4;0.125;67;908;908;0;0;0;0
92922;1;1;533;533;79;2;0.5;267;721;128;3;0.25;133;726;187;4;0.125;67;606;606;0;0;0;0
93932;1;1;533;533;59;2;0.5;267;741;127;3;0.25;133;747;171;4;0.125;67;643;643;0;0;0;0
94932;1;1;533;533;72;2;0.5;267;728;129;3;0.25;133;732;212;4;0.125;67;587;587;0;0;0;0
95947;1;1;533;533;73;2;0.5;267;727;170;3;0.25;133;690;241;4;0.125;67;516;516;0;0;0;0
96961;1;1;533;533;73;2;0.5;267;727;145;3;0.25;133;715;201;4;0.125;67;581;581;0;0;0;0
97968;1;1;533;533;68;2;0.5;267;732;118;3;0.25;133;747;196;4;0.125;67;618;618;0;0;0;0
98984;1;1;533;533;69;2;0.5;267;731;124;3;0.25;133;740;155;4;0.125;67;652;652;0;0;0;0
99984;1;1;533;533;25;2;0.5;267;775;71;3;0.25;133;837;93;4;0.125;67;811;811;0;0;0;0
100996;1;1;533;533;58;2;0.5;267;742;122;3;0.25;133;753;180;4;0.125;67;640;640;0;0;0;0
102013;1;1;533;533;32;2;0.5;267;768;46;3;0.25;133;855;88;4;0.125;67;834;834;0;0;0;0
103025;1;1;533;533;94;2;0.5;267;706;169;3;0.25;133;670;209;4;0.125;67;528;528;0;0;0;0
104042;1;1;533;533;43;2;0.5;267;757;69;3;0.25;133;821;107;4;0.125;67;781;781;0;0;0;0
105048;1;1;533;533;58;2;0.5;267;742;136;3;0.25;133;739;163;4;0.125;67;643;643;0;0;0;0
106060;1;1;533;533;89;2;0.5;267;711;171;3;0.25;133;673;247;4;0.125;67;493;493;0;0;0;0
107073;1;1;533;533;53;2;0.5;267;747;107;3;0.25;133;773;179;4;0.125;67;661;661;0;0;0;0
108089;1;1;533;533;69;2;0.5;267;731;129;3;0.25;133;735;205;4;0.125;67;597;597;0;0;0;0
109102;1;1;533;533;35;2;0.5;267;765;96;3;0.25;133;802;113;4;0.125;67;756;756;0;0;0;0
110101;1;1;533;533;28;2;0.5;267;772;70;3;0.25;133;835;110;4;0.125;67;792;792;0;0;0;0
111102;1;1;533;533;38;2;0.5;267;762;65;3;0.25;133;830;94;4;0.125;67;803;803;0;0;0;0
112110;1;1;533;533;108;2;0.5;267;692;180;3;0.25;133;645;237;4;0.125;67;475;475;0;0;0;0
113123;1;1;533;533;50;2;0.5;267;750;100;3;0.25;133;783;148;4;0.125;67;702;702;0;0;0;0
114122;1;1;533;533;99;2;0.5;267;701;205;3;0.25;133;629;326;4;0.125;67;370;370;0;0;0;0
115134;1;1;533;533;109;2;0.5;267;691;186;3;0.25;133;638;309;4;0.125;67;396;396;0;0;0;0
116137;1;1;533;533;60;2;0.5;267;740;124;3;0.25;133;749;214;4;0.125;67;602;602;0;0;0;0
117152;1;1;533;533;98;2;0.5;267;702;162;3;0.25;133;673;268;4;0.125;67;472;472;0;0;0;0
118160;1;1;533;533;105;2;0.5;267;695;170;3;0.25;133;658;269;4;0.125;67;456;456;0;0;0;0
119161;1;1;533;533;77;2;0.5;267;723;175;3;0.25;133;681;224;4;0.125;67;524;524;0;0;0;0
120173;1;1;533;533;53;2;0.5;267;747;118;3;0.25;133;762;159;4;0.125;67;670;670;0;0;0;0
121176;1;1;533;533;37;2;0.5;267;763;69;3;0.25;133;827;92;4;0.125;67;802;802;0;0;0;0
122186;1;1;533;533;44;2;0.5;267;756;124;3;0.25;133;765;162;4;0.125;67;670;670;0;0;0;0
123196;1;1;533;533;54;2;0.5;267;746;94;3;0.25;133;785;116;4;0.125;67;736;736;0;0;0;0
124200;1;1;533;533;84;2;0.5;267;716;182;3;0.25;133;667;265;4;0.125;67;469;469;0;0;0;0
125211;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;136;4;0.125;67;864;864;0;0;0;0
126229;1;1;533;533;118;2;0.5;267;682;250;3;0.25;133;565;194;4;0.125;67;438;438;0;0;0;0
127243;1;1;533;533;52;2;0.5;267;748;189;3;0.25;133;692;291;4;0.125;67;468;468;0;0;0;0
128250;1;1;533;533;74;2;0.5;267;726;73;3;0.25;133;786;115;4;0.125;67;738;738;0;0;0;0
129263;1;1;533;533;52;2;0.5;267;748;167;3;0.25;133;714;281;4;0.125;67;500;500;0;0;0;0
130276;1;1;533;533;87;2;0.5;267;713;112;3;0.25;133;734;287;4;0.125;67;514;514;0;0;0;0
131288;1;1;533;533;96;2;0.5;267;704;183;3;0.25;133;654;224;4;0.125;67;497;497;0;0;0;0
132305;1;1;533;533;51;2;0.5;267;749;95;3;0.25;133;787;67;4;0.125;67;787;787;0;0;0;0
133317;1;1;533;533;60;2;0.5;267;740;203;3;0.25;133;670;289;4;0.125;67;448;448;0;0;0;0
134385;1;1;533;533;100;2;0.5;267;700;101;3;0.25;133;732;294;4;0.125;67;505;505;0;0;0;0
135340;1;1;533;533;50;2;0.5;267;750;106;3;0.25;133;777;0;4;0.125;67;844;844;0;0;0;0
136346;1;1;533;533;76;2;0.5;267;724;150;3;0.25;133;707;261;4;0.125;67;513;513;0;0;0;0
137354;1;1;533;533;84;2;0.5;267;716;212;3;0.25;133;637;284;4;0.125;67;420;420;0;0;0;0
138395;1;1;533;533;76;2;0.5;267;724;178;3;0.25;133;679;269;4;0.125;67;477;477;0;0;0;0
139367;1;1;533;533;52;2;0.5;267;748;80;3;0.25;133;801;142;4;0.125;67;726;726;0;0;0;0
140381;1;1;533;533;69;2;0.5;267;731;144;3;0.25;133;720;197;4;0.125;67;590;590;0;0;0;0
141382;1;1;533;533;56;2;0.5;267;744;119;3;0.25;133;758;191;4;0.125;67;634;634;0;0;0;0
142381;1;1;533;533;47;2;0.5;267;753;93;3;0.25;133;793;133;4;0.125;67;727;727;0;0;0;0
143395;1;1;533;533;46;2;0.5;267;754;82;3;0.25;133;805;125;4;0.125;67;747;747;0;0;0;0
144395;1;1;533;533;17;2;0.5;267;783;69;3;0.25;133;847;70;4;0.125;67;844;844;0;0;0;0
145412;1;1;533;533;30;2;0.5;267;770;48;3;0.25;133;855;82;4;0.125;67;840;840;0;0;0;0
146423;1;1;533;533;60;2;0.5;267;740;142;3;0.25;133;731;195;4;0.125;67;603;603;0;0;0;0
147433;1;1;533;533;81;2;0.5;267;719;158;3;0.25;133;694;242;4;0.125;67;519;519;0;0;0;0
148436;1;1;533;533;63;2;0.5;267;737;144;3;0.25;133;726;196;4;0.125;67;597;597;0;0;0;0
149497;1;1;533;533;57;2;0.5;267;743;122;3;0.25;133;754;168;4;0.125;67;653;653;0;0;0;0
150494;1;1;533;533;48;2;0.5;267;752;84;3;0.25;133;801;134;4;0.125;67;734;734;0;0;0;0
151460;1;1;533;533;94;2;0.5;267;706;197;3;0.25;133;642;251;4;0.125;67;458;458;0;0;0;0
152474;1;1;533;533;61;2;0.5;267;739;104;3;0.25;133;768;174;4;0.125;67;661;661;0;0;0;0
153511;1;1;533;533;66;2;0.5;267;734;110;3;0.25;133;757;216;4;0.125;67;608;608;0;0;0;0
154496;1;1;533;533;37;2;0.5;267;763;71;3;0.25;133;825;100;4;0.125;67;792;792;0;0;0;0
155496;1;1;533;533;43;2;0.5;267;757;89;3;0.25;133;801;122;4;0.125;67;746;746;0;0;0;0
156562;1;1;533;533;49;2;0.5;267;751;93;3;0.25;133;791;128;4;0.125;67;730;730;0;0;0;0
157512;1;1;533;533;86;2;0.5;267;714;183;3;0.25;133;664;235;4;0.125;67;496;496;0;0;0;0
158529;1;1;533;533;38;2;0.5;267;762;62;3;0.25;133;833;90;4;0.125;67;810;810;0;0;0;0
159521;1;1;533;533;61;2;0.5;267;739;111;3;0.25;133;761;136;4;0.125;67;692;692;0;0;0;0
