Timestamp; Shipment; Messages generated in shipment; Queue lenght; Next shipment; Total produced
251897;482;0;0;538;100347
252444;483;0;0;655;100347
253113;484;0;0;558;100347
253677;485;0;0;336;100347
254023;486;0;0;490;100347
254528;487;0;0;786;100347
255327;488;0;0;232;100347
255562;489;0;0;940;100347
256506;490;0;0;561;100347
257071;491;0;0;253;100347
257336;492;0;0;147;100347
257493;493;0;0;118;100347
257621;494;0;0;980;100347
258610;495;0;0;654;100347
259272;496;0;0;435;100347
259714;497;0;0;917;100347
260643;498;0;0;56;100347
260706;499;0;0;165;100347
260878;500;0;0;603;100347
261488;501;0;0;415;100347
261909;502;0;0;286;100347
262206;503;0;0;148;100347
262363;504;0;0;432;100347
262801;505;0;0;122;100347
262929;506;0;0;950;100347
263885;507;0;0;404;100347
264302;508;0;0;308;100347
264616;509;0;0;708;100347
265332;510;0;0;168;100347
265504;511;0;0;148;100347
265661;512;0;0;855;100347
266519;513;0;0;944;100347
267473;514;0;0;477;100347
267954;515;0;0;868;100347
268826;516;0;0;581;100347
269419;517;0;0;503;100347
269938;518;0;0;255;100347
270202;519;0;0;970;100347
271175;520;0;0;604;100347
271785;521;0;0;817;100347
272605;522;0;0;664;100347
273283;523;0;0;267;100347
273551;524;0;0;701;100347
274262;525;0;0;817;100347
275081;526;0;0;92;100347
275176;527;0;0;734;100347
275916;528;0;0;300;100347
276219;529;0;0;382;100347
276612;530;0;0;534;100347
277147;531;0;0;85;100347
277243;532;0;0;53;100347
277305;533;0;0;57;100347
277368;534;0;0;329;100347
277714;535;0;0;26;100347
277745;536;0;0;248;100347
277998;537;0;0;720;100347
278725;538;0;0;533;100347
279262;539;0;0;523;100347
279794;540;0;0;113;100347
279920;541;0;0;45;100347
279967;542;0;0;820;100347
280803;543;0;0;546;100347
281354;544;0;0;993;100347
282359;545;0;0;103;100347
282470;546;0;0;439;100347
282922;547;0;0;834;100347
283757;548;0;0;263;100347
284025;549;0;0;889;100347
284921;550;0;0;179;100347
285110;551;0;0;864;100347
285982;552;0;0;658;100347
286641;553;0;0;932;100347
287581;554;0;0;749;100347
288331;555;0;0;330;100347
288673;556;0;0;173;100347
288860;557;0;0;322;100347
289189;558;0;0;393;100347
289585;559;0;0;184;100347
289785;560;0;0;995;100347
290783;561;0;0;844;100347
291636;562;0;0;498;100347
292140;563;0;0;203;100347
292346;564;0;0;984;100347
293334;565;0;0;29;100347
293366;566;0;0;908;100347
294277;567;0;0;886;100347
295173;568;0;0;395;100347
295583;569;0;0;168;100347
295757;570;0;0;449;100347
296212;571;0;0;344;100347
296572;572;0;0;893;100347
297466;573;0;0;579;100347
298051;574;0;0;284;100347
298349;575;0;0;725;100347
299086;576;0;0;950;100347
