Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
170412;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
171414;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
172425;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
173437;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
174450;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
175463;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
176463;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
177468;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
178478;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
179484;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
180486;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
181495;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
182505;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
183515;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
184527;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
185539;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
186541;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
187548;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
188553;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
189560;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
190572;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
191581;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
192597;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
193606;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
194620;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
195630;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
196642;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
197656;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
198670;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
199686;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
200701;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
201704;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
202704;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
203714;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
204731;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
205730;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
206737;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
207746;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
208751;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
209757;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
210767;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
211769;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
212767;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
213778;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
214794;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
215800;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
216811;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
217820;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
218828;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
219835;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
220842;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
221854;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
222864;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
223881;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
224886;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
225894;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
226896;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
227909;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
228915;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
229929;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
230947;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
231952;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
232965;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
233975;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
234988;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
235994;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
237002;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
238004;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
239018;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
240027;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
241039;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
242047;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
243056;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
244066;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
245074;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
