Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
181466;0;0;0;0;;0
182477;0;0;0;0;;0
183486;0;0;0;0;;0
184497;0;0;0;0;;0
185511;0;0;0;0;;0
186513;0;0;0;0;;0
187520;0;0;0;0;;0
188523;0;0;0;0;;0
189532;0;0;0;0;;0
190543;0;0;0;0;;0
191554;0;0;0;0;;0
192567;0;0;0;0;;0
193577;0;0;0;0;;0
194592;0;0;0;0;;0
195602;0;0;0;0;;0
196615;0;0;0;0;;0
197629;0;0;0;0;;0
198643;0;0;0;0;;0
199656;0;0;0;0;;0
200672;0;0;0;0;;0
201675;0;0;0;0;;0
202677;0;0;0;0;;0
203688;0;0;0;0;;0
204703;0;0;0;0;;0
205703;0;0;0;0;;0
206708;0;0;0;0;;0
207718;0;0;0;0;;0
208720;0;0;0;0;;0
209731;0;0;0;0;;0
210739;0;0;0;0;;0
211739;0;0;0;0;;0
212755;0;0;0;0;;0
213765;0;0;0;0;;0
214780;0;0;0;0;;0
215789;0;0;0;0;;0
216796;0;0;0;0;;0
217810;0;0;0;0;;0
218817;0;0;0;0;;0
219824;0;0;0;0;;0
220831;0;0;0;0;;0
221842;0;0;0;0;;0
222852;0;0;0;0;;0
223869;0;0;0;0;;0
224875;0;0;0;0;;0
225880;0;0;0;0;;0
226884;0;0;0;0;;0
227891;0;0;0;0;;0
228903;0;0;0;0;;0
229917;0;0;0;0;;0
230931;0;0;0;0;;0
231941;0;0;0;0;;0
232952;0;0;0;0;;0
233964;0;0;0;0;;0
234978;0;0;0;0;;0
235982;0;0;0;0;;0
236990;0;0;0;0;;0
237993;0;0;0;0;;0
239007;0;0;0;0;;0
240015;0;0;0;0;;0
241027;0;0;0;0;;0
242036;0;0;0;0;;0
243044;0;0;0;0;;0
244053;0;0;0;0;;0
245062;0;0;0;0;;0
246070;0;0;0;0;;0
247078;0;0;0;0;;0
248087;0;0;0;0;;0
249097;0;0;0;0;;0
250101;0;0;0;0;;0
251108;0;0;0;0;;0
252110;0;0;0;0;;0
253121;0;0;0;0;;0
254127;0;0;0;0;;0
255132;0;0;0;0;;0
256144;0;0;0;0;;0
257157;0;0;0;0;;0
258164;0;0;0;0;;0
259171;0;0;0;0;;0
260181;0;0;0;0;;0
261182;0;0;0;0;;0
262184;0;0;0;0;;0
263189;0;0;0;0;;0
264201;0;0;0;0;;0
265215;0;0;0;0;;0
266231;0;0;0;0;;0
267231;0;0;0;0;;0
268244;0;0;0;0;;0
269256;0;0;0;0;;0
270258;0;0;0;0;;0
271262;0;0;0;0;;0
272266;0;0;0;0;;0
273277;0;0;0;0;;0
274289;0;0;0;0;;0
275295;0;0;0;0;;0
276308;0;0;0;0;;0
277313;0;0;0;0;;0
278324;0;0;0;0;;0
279333;0;0;0;0;;0
280338;0;0;0;0;;0
281347;0;0;0;0;;0
282353;0;0;0;0;;0
283359;0;0;0;0;;0
284367;0;0;0;0;;0
285382;0;0;0;0;;0
286383;0;0;0;0;;0
287387;0;0;0;0;;0
288401;0;0;0;0;;0
289405;0;0;0;0;;0
290415;0;0;0;0;;0
291424;0;0;0;0;;0
292433;0;0;0;0;;0
293436;0;0;0;0;;0
294442;0;0;0;0;;0
295450;0;0;0;0;;0
296455;0;0;0;0;;0
297461;0;0;0;0;;0
298468;0;0;0;0;;0
299473;0;0;0;0;;0
