Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
15814;1;1;427;427;43;2;0.5;213;597;68;3;0.25;107;636;118;4;0.125;53;571;571;0;0;0;0
15923;1;1;427;427;35;2;0.5;213;605;82;3;0.25;107;630;129;4;0.125;53;554;554;0;0;0;0
16033;1;1;427;427;34;2;0.5;213;606;85;3;0.25;107;628;121;4;0.125;53;560;560;0;0;0;0
16142;1;1;427;427;41;2;0.5;213;599;77;3;0.25;107;629;113;4;0.125;53;569;569;0;0;0;0
16254;1;1;427;427;45;2;0.5;213;595;82;3;0.25;107;620;118;4;0.125;53;555;555;0;0;0;0
16363;1;1;427;427;41;2;0.5;213;599;77;3;0.25;107;629;126;4;0.125;53;556;556;0;0;0;0
16474;1;1;427;427;39;2;0.5;213;601;73;3;0.25;107;635;124;4;0.125;53;564;564;0;0;0;0
16585;1;1;427;427;32;2;0.5;213;608;73;3;0.25;107;642;131;4;0.125;53;564;564;0;0;0;0
16693;1;1;427;427;43;2;0.5;213;597;78;3;0.25;107;626;126;4;0.125;53;553;553;0;0;0;0
16803;1;1;427;427;34;2;0.5;213;606;81;3;0.25;107;632;111;4;0.125;53;574;574;0;0;0;0
16913;1;1;427;427;51;2;0.5;213;589;80;3;0.25;107;616;122;4;0.125;53;547;547;0;0;0;0
17021;1;1;427;427;42;2;0.5;213;598;66;3;0.25;107;639;110;4;0.125;53;582;582;0;0;0;0
17131;1;1;427;427;48;2;0.5;213;592;75;3;0.25;107;624;119;4;0.125;53;558;558;0;0;0;0
17240;1;1;427;427;40;2;0.5;213;600;71;3;0.25;107;636;129;4;0.125;53;560;560;0;0;0;0
17347;1;1;427;427;30;2;0.5;213;610;78;3;0.25;107;639;118;4;0.125;53;574;574;0;0;0;0
17457;1;1;427;427;55;2;0.5;213;585;73;3;0.25;107;619;113;4;0.125;53;559;559;0;0;0;0
17566;1;1;427;427;41;2;0.5;213;599;76;3;0.25;107;630;121;4;0.125;53;562;562;0;0;0;0
17674;1;1;427;427;31;2;0.5;213;609;71;3;0.25;107;645;132;4;0.125;53;566;566;0;0;0;0
17783;1;1;427;427;43;2;0.5;213;597;85;3;0.25;107;619;114;4;0.125;53;558;558;0;0;0;0
17893;1;1;427;427;41;2;0.5;213;599;96;3;0.25;107;610;99;4;0.125;53;564;564;0;0;0;0
17999;1;1;427;427;38;2;0.5;213;602;83;3;0.25;107;626;114;4;0.125;53;565;565;0;0;0;0
18109;1;1;427;427;36;2;0.5;213;604;74;3;0.25;107;637;124;4;0.125;53;566;566;0;0;0;0
18216;1;1;427;427;38;2;0.5;213;602;83;3;0.25;107;626;136;4;0.125;53;543;543;0;0;0;0
18325;1;1;427;427;26;2;0.5;213;614;74;3;0.25;107;647;132;4;0.125;53;568;568;0;0;0;0
18437;1;1;427;427;37;2;0.5;213;603;83;3;0.25;107;627;122;4;0.125;53;558;558;0;0;0;0
18546;1;1;427;427;40;2;0.5;213;600;56;3;0.25;107;651;120;4;0.125;53;584;584;0;0;0;0
18658;1;1;427;427;39;2;0.5;213;601;80;3;0.25;107;628;126;4;0.125;53;555;555;0;0;0;0
18765;1;1;427;427;38;2;0.5;213;602;87;3;0.25;107;622;125;4;0.125;53;550;550;0;0;0;0
18874;1;1;427;427;48;2;0.5;213;592;75;3;0.25;107;624;133;4;0.125;53;544;544;0;0;0;0
18984;1;1;427;427;47;2;0.5;213;593;83;3;0.25;107;617;125;4;0.125;53;545;545;0;0;0;0
19090;1;1;427;427;33;2;0.5;213;607;68;3;0.25;107;646;132;4;0.125;53;567;567;0;0;0;0
19200;1;1;427;427;39;2;0.5;213;601;75;3;0.25;107;633;130;4;0.125;53;556;556;0;0;0;0
19310;1;1;427;427;28;2;0.5;213;612;86;3;0.25;107;633;118;4;0.125;53;568;568;0;0;0;0
