Timestamp; Leidos por Classifier; Quedan en cola
32087;800;94161
32195;800;93675
32304;800;93065
32413;800;92418
32522;800;92022
32630;800;91448
32739;800;90945
32849;800;90282
32959;800;89820
33067;800;89575
33176;800;89088
33285;800;88374
33391;800;87713
33498;800;87057
33605;800;86656
33713;800;86089
33823;800;85416
33932;800;84762
34040;800;84153
34149;800;83531
34257;800;83055
34366;800;82453
34475;800;81717
34583;800;81203
34693;800;80476
34802;800;79805
34911;800;79336
35020;800;78723
35128;800;78109
35235;800;77459
35344;800;76885
35452;800;76279
35562;800;75601
35671;800;74892
35781;800;74485
35891;800;73956
35999;800;73218
36109;800;72607
36217;800;72258
36327;800;71522
36436;800;71037
36545;800;70514
36654;800;69993
36762;800;69366
36871;800;69227
36979;800;68626
37089;800;68057
37199;800;67496
37308;800;66779
37417;800;66126
37525;800;65685
37632;800;65112
37742;800;64634
37850;800;64119
37959;800;63667
38067;800;63240
38177;800;62790
38285;800;62116
38395;800;61667
38505;800;61011
38615;800;60328
38722;800;59794
38833;800;59153
38942;800;58666
39050;800;58177
39158;800;57540
39269;800;56881
39377;800;56331
39484;800;55795
39593;800;55429
39701;800;54786
39809;800;54181
39919;800;53676
40028;800;53161
40137;800;52807
40246;800;52256
40356;800;51669
40464;800;51176
40575;800;50580
40684;800;50056
40792;800;49662
40904;800;49061
41012;800;48534
41122;800;47994
41230;800;47504
41339;800;47071
41446;800;46405
41556;800;45726
41666;800;45073
41775;800;44465
41885;800;43908
41994;800;43258
42102;800;42760
42209;800;42153
42320;800;41417
42431;800;41098
42540;800;40655
42649;800;39956
42760;800;39389
42868;800;38771
42977;800;38288
43085;800;38014
43195;800;37447
43301;800;36853
43409;800;36235
43520;800;35810
43628;800;35172
43735;800;34698
43842;800;34255
43951;800;33708
44060;800;33067
44169;800;32622
44278;800;31928
44385;800;31421
44495;800;31017
44602;800;30533
44710;800;30007
44819;800;29371
44930;800;28695
45042;800;28154
45150;800;27674
45261;800;26935
45371;800;26617
45482;800;25903
45592;800;25403
45702;800;24872
45813;800;24341
45922;800;23760
46033;800;23362
46142;800;22752
46250;800;22101
46361;800;21475
46472;800;20811
46579;800;20367
46690;800;19815
46799;800;19327
46910;800;18913
47019;800;18318
47129;800;17776
47239;800;17114
47349;800;16464
47458;800;16009
47567;800;15464
47675;800;15016
47784;800;14535
47893;800;13881
48003;800;13192
48114;800;12651
48224;800;12256
48334;800;11795
48443;800;11167
48554;800;10668
48664;800;9952
48773;800;9420
48881;800;8761
48989;800;8449
49097;800;8130
49205;800;7523
49314;800;7104
49424;800;6508
49535;800;5797
49642;800;5251
49748;800;4562
49856;800;4218
49966;800;3794
50074;800;3382
50183;800;2953
50291;800;2411
50399;800;1752
50507;800;1092
50615;800;608
50723;800;189
50832;800;0
50940;800;0
51047;800;0
51154;800;0
51261;800;0
51370;800;0
51475;800;0
51584;800;0
51692;800;0
51803;800;0
51911;800;0
52021;800;0
52130;800;0
52237;800;0
52346;800;0
52455;800;0
52564;800;0
52672;800;0
52782;800;0
52892;800;0
53001;800;0
53110;800;0
53221;800;0
53331;800;0
53440;800;0
53548;800;0
53658;800;0
53766;800;0
53875;800;0
53984;800;0
54093;800;0
54202;800;0
54312;800;0
54421;800;0
54531;800;0
54638;800;0
54748;800;0
54859;800;0
54965;800;0
55076;800;0
55185;800;0
55294;800;0
55403;800;0
55512;800;0
55621;800;0
55730;800;0
55837;800;0
55945;800;0
56054;800;0
56166;800;0
56276;800;0
56385;800;0
56492;800;0
56602;800;0
56712;800;0
56820;800;0
56930;800;0
57038;800;0
57147;800;0
57258;800;0
57366;800;0
57474;800;462
57581;800;1367
57690;800;1312
57799;800;1072
57907;800;1804
58016;800;2880
58125;800;4874
58233;800;4748
58343;800;5982
58450;800;5942
58560;800;6104
58668;800;6591
58775;800;7536
58883;800;8340
58991;800;9074
59098;800;9233
59207;800;9702
59315;800;10452
59424;800;10450
59533;800;10975
59643;800;10699
59753;800;10600
59862;800;11702
59969;800;11855
60078;800;12599
60189;800;13665
60300;800;13524
60408;800;13871
60519;800;13977
60626;800;15207
60734;800;16976
60843;800;16895
60953;800;17892
61061;800;17538
61169;800;17273
61278;800;18778
61388;800;18820
61498;800;18992
61606;800;20108
61716;800;20222
61823;800;19975
61932;800;21292
62040;800;21982
62149;800;21824
62257;800;21778
62367;800;21654
62476;800;23241
62584;800;23852
62692;800;23676
62802;800;23842
62909;800;24763
63019;800;25539
63128;800;25617
63238;800;26190
63348;800;26386
63457;800;26807
63566;800;26990
63674;800;26834
63783;800;27518
63893;800;28196
64002;800;27737
64111;800;29088
64219;800;29133
64326;800;28970
64437;800;29121
64545;800;29927
64655;800;30885
64762;800;30753
64869;800;30942
64980;800;31835
65087;800;31595
65195;800;32101
65305;800;32208
65413;800;32311
65522;800;32524
65632;800;35528
65742;800;35592
65850;800;36060
65958;800;36111
66068;800;37516
66175;800;37247
66285;800;37483
66393;800;37923
66502;800;37911
66612;800;39323
66719;800;39850
66830;800;40593
66940;800;40863
67046;800;41436
67154;800;42530
67262;800;43521
67372;800;43101
67482;800;43876
67589;800;44418
67696;800;44561
67806;800;44426
67916;800;45264
68026;800;45683
68132;800;45543
68239;800;46138
68348;800;47374
68458;800;48975
68565;800;49098
68674;800;48813
68783;800;49273
68892;800;49426
69001;800;49624
69108;800;50177
69217;800;50044
69326;800;50619
69434;800;50757
69544;800;50797
69654;800;51395
69763;800;51857
69873;800;51768
69981;800;52399
70090;800;53247
70199;800;53300
70308;800;54839
70417;800;56479
70528;800;56583
70636;800;57599
70746;800;57636
70854;800;58585
70963;800;60212
71072;800;60889
71181;800;60833
71290;800;61913
71400;800;62544
71508;800;63038
71616;800;63165
71726;800;65013
71834;800;65402
71943;800;65907
72055;800;67140
72164;800;67608
72273;800;67227
72383;800;67763
72491;800;68760
72601;800;68416
72711;800;68284
72819;800;69745
72926;800;69933
73036;800;70373
73143;800;69958
73252;800;69827
73364;800;70000
73475;800;70701
73583;800;71427
73691;800;72780
73801;800;73546
73910;800;73484
74019;800;74004
74127;800;74513
74235;800;75501
74345;800;75508
74454;800;75492
74565;800;75794
74675;800;75446
74783;800;75509
74890;800;76330
74992;800;76464
75095;800;76051
75202;800;75821
75308;800;76270
75407;800;76655
75510;800;76732
75619;800;76879
75728;800;77383
75833;800;78226
75944;800;78137
76052;800;79003
76161;800;79560
76270;800;79396
76379;800;79865
76488;800;81068
76597;800;80829
76706;800;80970
76816;800;81606
76927;800;81503
77036;800;81790
77142;800;81378
77254;800;81200
77360;800;83961
77472;800;84196
77581;800;84160
77689;800;85351
77800;800;85093
77908;800;85270
78014;800;85652
78120;800;86121
78230;800;86150
78338;800;86433
78446;800;86539
78554;800;87170
78664;800;86984
78771;800;87127
78879;800;87495
78988;800;88325
79097;800;89326
79210;800;90962
79319;800;91701
79428;800;92293
79536;800;92165
79643;800;92925
79752;800;94006
79860;800;93848
79970;800;93894
80081;800;94265
80187;800;94201
80295;800;94424
80406;800;94900
80516;800;95982
80624;800;96334
80733;800;97089
80842;800;97218
80950;800;99095
81061;800;100216
81169;800;100977
81276;800;101078
81384;800;101742
81491;800;102350
81599;800;101980
81707;800;103167
81818;800;103811
81929;800;103781
82037;800;103924
82143;800;105003
82252;800;105751
82360;800;106694
82470;800;106872
82580;800;106411
82688;800;106557
82797;800;106170
82906;800;107223
83015;800;107832
83124;800;108398
83232;800;109095
83342;800;108655
83450;800;110897
83559;800;111421
83668;800;111488
83777;800;112237
83888;800;111956
83995;800;111971
84105;800;112601
84213;800;112338
84320;800;111982
84429;800;112150
84537;800;112268
84645;800;112811
84753;800;114097
84863;800;114279
84972;800;115377
85082;800;115133
85190;800;116462
85299;800;116513
85407;800;117493
85517;800;117640
85627;800;117637
85737;800;117296
85846;800;118177
85955;800;118507
86064;800;118033
86173;800;117492
86280;800;116974
86388;800;116476
86499;800;116170
86607;800;115690
86718;800;115144
86828;800;114574
86936;800;113880
87044;800;113341
87153;800;112814
87263;800;112171
87372;800;111599
87483;800;111090
87591;800;110735
87701;800;110234
87809;800;109838
87919;800;109149
88029;800;108573
88138;800;107969
88245;800;107289
88354;800;106666
88459;800;106052
88569;800;105500
88676;800;104869
88784;800;104200
88893;800;103470
89002;800;102973
89113;800;102295
89223;800;101822
89331;800;101261
89440;800;100524
89549;800;100053
89659;800;99374
89768;800;98673
89876;800;98133
89986;800;97576
90093;800;97060
90203;800;96633
90311;800;96229
90421;800;95580
90528;800;94950
90636;800;94448
90744;800;93981
90853;800;93273
90962;800;92669
91071;800;92194
91180;800;91470
91287;800;90820
91397;800;90288
91506;800;89862
91615;800;89199
91726;800;88566
91834;800;88123
91943;800;87551
92052;800;86833
92159;800;86333
92269;800;85746
92379;800;85296
92487;800;84682
92595;800;84444
92702;800;83945
92809;800;83352
92918;800;82694
93027;800;82148
93137;800;81557
93246;800;80914
93353;800;80218
93459;800;79679
93568;800;79032
93676;800;78389
93784;800;77799
93891;800;77519
93998;800;77032
94105;800;76347
94214;800;75786
94324;800;75054
94434;800;74588
94542;800;73990
94652;800;73617
94761;800;73023
94870;800;72310
94978;800;71598
95089;800;71044
95197;800;70418
95304;800;69933
95415;800;69215
95523;800;68617
95631;800;67915
95740;800;67474
95850;800;66911
95957;800;66352
96064;800;65888
96174;800;65422
96283;800;65161
96391;800;64582
96499;800;63873
96610;800;63277
96717;800;62741
96827;800;62031
96936;800;61666
97042;800;61234
97153;800;60628
97262;800;59901
97370;800;59429
97480;800;59064
97589;800;58427
97700;800;58107
97808;800;57407
97917;800;56998
98025;800;56373
98136;800;55696
98244;800;54979
98351;800;54580
98459;800;53888
98567;800;53609
98675;800;53057
98784;800;52356
98894;800;51820
99003;800;51176
99112;800;50526
99220;800;50013
99328;800;49570
99437;800;49068
99546;800;48501
99656;800;47781
99763;800;47298
99872;800;46755
99981;800;46255
100091;800;45726
100199;800;45028
100308;800;44465
100415;800;43796
100523;800;43249
100633;800;42699
100741;800;42307
100848;800;41660
100958;800;40991
101068;800;40375
101176;800;40136
101286;800;39834
101393;800;39252
101500;800;38516
101610;800;38027
101719;800;37344
101828;800;36759
101936;800;36096
102048;800;35363
102157;800;34878
102267;800;34272
102377;800;33641
102485;800;32943
102596;800;32459
102705;800;31895
102815;800;31243
102924;800;30714
103034;800;30144
103141;800;29687
103250;800;29100
103361;800;28460
103468;800;27861
103576;800;27370
103685;800;26846
103793;800;26251
103903;800;25696
104011;800;24960
104119;800;24449
104228;800;23788
104336;800;23208
104444;800;22516
104553;800;21984
104661;800;21285
104769;800;20767
104879;800;20168
104990;800;19519
105099;800;18848
105210;800;18343
105321;800;17622
105432;800;16933
105544;800;16531
105653;800;16225
105766;800;15649
105876;800;14954
105986;800;14233
106096;800;13686
106206;800;13393
106316;800;12715
106424;800;12006
106532;800;11554
106642;800;10935
106752;800;10221
106862;800;9572
106973;800;8838
107083;800;8326
107192;800;7631
107305;800;6919
107411;800;6348
107521;800;5896
107628;800;5392
107738;800;4740
107846;800;4144
107956;800;3651
108066;800;3078
108173;800;2415
108284;800;1977
108394;800;1282
108505;800;825
108612;800;326
108720;800;0
108829;800;0
108936;800;0
109043;800;0
109155;800;0
109265;800;0
109373;800;0
109482;800;0
109591;800;0
109699;800;0
109807;800;0
109918;800;0
110025;800;0
110135;800;0
110244;800;0
110352;800;0
110461;800;0
110571;800;0
110678;800;0
110786;800;0
110895;800;0
111004;800;0
111113;800;0
111223;800;0
111331;800;0
111438;800;0
111545;800;0
111654;800;0
111764;800;0
111872;800;0
111981;800;0
112090;800;0
112198;800;0
112308;800;0
112416;800;0
112524;800;0
112634;800;0
112741;800;0
112848;800;0
112956;800;0
113065;800;0
113175;800;0
113282;800;0
113388;800;0
113499;800;0
113607;800;0
113715;800;0
113826;800;0
113937;800;0
114044;800;109
114152;800;0
114261;800;1377
114370;800;1264
114480;800;1246
114588;800;1596
114697;800;1744
114804;800;2203
114912;800;2778
115021;800;3702
115131;800;4478
115240;800;4601
115350;800;4466
115459;800;5468
115570;800;6117
115680;800;6670
115788;800;6192
115895;800;6511
116005;800;6520
116114;800;7135
116224;800;8673
116331;800;11045
116439;800;10931
116546;800;11384
116657;800;11458
116762;800;12190
116870;800;12098
116981;800;12685
117089;800;12331
117198;800;12949
117307;800;13027
117415;800;14252
117525;800;14376
117635;800;15443
117745;800;15516
117854;800;15894
117963;800;15590
118072;800;16137
118183;800;17674
118291;800;17947
118401;800;17476
118509;800;17519
118618;800;18028
118727;800;18287
118835;800;18104
118944;800;18391
119053;800;18875
119162;800;18602
119271;800;20421
119380;800;19971
119489;800;20146
119597;800;20553
119705;800;21771
119812;800;22724
119923;800;22802
120034;800;23139
120143;800;22907
120252;800;22531
120361;800;24401
120469;800;24383
120579;800;24546
120689;800;24876
120797;800;25359
120906;800;25662
121013;800;27409
121123;800;26955
121232;800;27284
121341;800;27353
121449;800;28052
121558;800;27913
121665;800;28171
121775;800;28321
121883;800;27850
121990;800;28109
122101;800;28089
122210;800;28064
122321;800;28057
122430;800;28701
122536;800;29393
122642;800;29432
122751;800;29418
122860;800;29816
122968;800;29957
123075;800;30438
123184;800;30974
123294;800;31325
123404;800;31236
123512;800;31872
123619;800;31743
123728;800;31635
123837;800;32174
123944;800;33063
124052;800;33738
124160;800;33829
124269;800;34085
124378;800;35020
124488;800;34704
124595;800;36271
124704;800;35838
124815;800;36443
124920;800;36036
125030;800;37449
125138;800;37770
125247;800;39370
125355;800;39406
125464;800;39582
125574;800;40722
125682;800;41352
125793;800;40974
125903;800;41074
126012;800;42283
126121;800;42716
126229;800;42557
126339;800;42769
126448;800;42385
126555;800;42309
126663;800;42709
126774;800;42289
126882;800;42872
126992;800;43149
127098;800;43386
127210;800;44102
127319;800;43979
127426;800;44392
127535;800;44630
127645;800;45702
127754;800;46174
127862;800;46053
127973;800;45673
128082;800;46227
128190;800;46651
128299;800;46458
128408;800;46919
128514;800;47166
128624;800;47670
128730;800;48334
128840;800;48831
128948;800;49000
129057;800;50167
129166;800;49881
129276;800;50489
129384;800;51289
129495;800;51666
129603;800;51823
129713;800;51341
129822;800;51357
129931;800;51510
130041;800;51025
130150;800;51882
130259;800;53216
130367;800;54223
130475;800;54793
130584;800;55451
130692;800;56419
130802;800;56370
130912;800;57280
131020;800;57908
131127;800;57829
131237;800;57518
131345;800;57028
131453;800;57203
131561;800;57544
131669;800;57693
131778;800;57963
131888;800;58040
131999;800;58096
132106;800;58734
132218;800;59845
132329;800;60618
132440;800;61409
132550;800;61844
132659;800;62348
132771;800;62175
132881;800;62487
132990;800;62567
133101;800;62493
133209;800;63174
133320;800;63615
133428;800;64492
133539;800;64992
133645;800;64857
133756;800;65891
133864;800;66560
133974;800;66728
134081;800;67816
134188;800;67575
134298;800;67680
134408;800;68177
134518;800;68980
134627;800;69146
134738;800;68807
134843;800;68007
134953;800;67207
135063;800;66407
135173;800;65607
135279;800;64807
135389;800;64007
135498;800;63207
135608;800;62407
135717;800;61607
135826;800;60807
135936;800;60007
136045;800;59207
136146;800;58407
136251;800;57607
136359;800;56807
136469;800;56007
136578;800;55207
136688;800;54407
136800;800;53607
136908;800;52807
137017;800;52007
137127;800;51207
137238;800;50407
137348;800;49607
137456;800;48807
137564;800;48007
137673;800;47207
137783;800;46407
137891;800;45607
138000;800;44807
138109;800;44007
138217;800;43207
138328;800;42407
138437;800;41607
138547;800;40807
138657;800;40007
138765;800;39207
138874;800;38407
138982;800;37607
139091;800;36807
139199;800;36007
139308;800;35207
139416;800;34407
139523;800;33607
139633;800;32807
