Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
74720;1;1;320;320;150;2;0.5;160;330;161;3;0.25;80;249;153;4;0.125;40;136;136;0;0;0;0
75734;1;1;320;320;150;2;0.5;160;330;125;3;0.25;80;285;171;4;0.125;40;154;154;0;0;0;0
76756;1;1;320;320;143;2;0.5;160;337;162;3;0.25;80;255;137;4;0.125;40;158;158;0;0;0;0
77770;1;1;320;320;148;2;0.5;160;332;162;3;0.25;80;250;137;4;0.125;40;153;153;0;0;0;0
78785;1;1;320;320;149;2;0.5;160;331;145;3;0.25;80;266;146;4;0.125;40;160;160;0;0;0;0
79788;1;1;320;320;145;2;0.5;160;335;152;3;0.25;80;263;151;4;0.125;40;152;152;0;0;0;0
80800;1;1;320;320;142;2;0.5;160;338;147;3;0.25;80;271;148;4;0.125;40;163;163;0;0;0;0
81821;1;1;320;320;97;2;0.5;160;383;149;3;0.25;80;314;161;4;0.125;40;193;130;NaN0;0;0;0
82824;1;1;320;320;22;2;0.5;160;458;152;3;0.25;80;386;158;4;0.125;40;268;143;NaN0;0;0;0
83821;1;1;320;320;22;2;0.5;160;458;150;3;0.25;80;388;152;4;0.125;40;276;153;NaN0;0;0;0
84827;1;1;320;320;48;2;0.5;160;432;146;3;0.25;80;366;157;4;0.125;40;249;153;NaN0;0;0;0
85836;1;1;320;320;3;2;0.5;160;477;143;3;0.25;80;414;151;4;0.125;40;303;149;NaN0;0;0;0
86850;1;1;320;320;0;2;0.5;160;480;149;3;0.25;80;411;155;4;0.125;40;296;168;NaN0;0;0;0
87875;1;1;320;320;0;2;0.5;160;480;138;3;0.25;80;422;161;4;0.125;40;301;154;NaN0;0;0;0
