Timestamp; Cola 1 expriados; Cola 1 quedan; Cola 2 expirados; Cola 2 quedan; Cola 3 expriados; Cola 3 quedan; Cola 4 expirados; Cola 4 quedan; Total Expirados; Cola Expirados
65454;0;48;0;94;0;121;0;537;0;0
66454;0;0;0;0;0;0;0;0;0;0
67458;0;0;0;0;0;0;0;0;0;0
68469;0;41;0;82;0;127;0;550;0;0
69478;0;38;0;87;0;110;0;565;0;0
70477;0;0;0;0;0;0;0;0;0;0
71479;0;0;0;0;0;0;0;0;0;0
72492;0;53;0;70;0;119;0;558;0;0
73506;0;39;0;86;0;119;0;556;0;0
74507;0;0;0;72;0;107;0;583;0;0
75518;0;0;0;0;0;0;0;0;0;0
76529;0;47;0;89;0;129;0;535;0;0
77537;0;53;0;72;0;117;0;558;0;0
78538;0;42;0;81;0;119;0;1239;0;0
79544;0;33;0;0;0;0;0;767;0;0
80552;0;44;0;0;0;0;0;756;0;0
81566;0;33;0;75;0;0;0;692;0;0
82566;0;38;0;79;0;0;0;1318;0;0
83567;0;39;0;86;0;0;0;675;0;0
84575;0;35;0;0;0;0;0;765;0;0
85587;0;33;0;89;0;0;0;678;0;0
86587;0;32;0;80;0;113;0;1330;0;0
87590;0;33;0;0;0;0;0;767;0;0
88605;0;45;0;0;0;0;0;755;0;0
89620;0;33;0;76;0;0;0;691;0;0
90619;0;41;0;0;0;0;0;1315;0;0
91623;0;30;0;0;0;0;0;770;0;0
92636;0;51;0;83;0;0;0;666;0;0
93644;0;54;0;0;0;0;0;746;0;0
94644;0;34;0;85;0;131;0;1236;0;0
95658;0;43;0;0;0;0;0;757;0;0
96665;0;46;0;67;0;0;0;687;0;0
97676;0;50;0;0;0;0;0;750;0;0
98682;0;46;0;84;0;0;0;670;0;0
99695;0;37;0;0;0;0;0;763;0;0
100704;0;51;0;71;0;0;0;678;0;0
101704;0;32;0;80;0;0;0;1335;0;0
102708;0;26;0;0;0;0;0;774;0;0
103716;0;42;0;0;0;0;0;758;0;0
104717;0;30;0;77;0;0;0;693;0;0
105728;0;44;0;0;0;0;0;756;0;0
106737;0;44;0;0;0;0;0;756;0;0
107743;0;42;0;0;0;0;0;758;0;0
108747;0;51;0;65;0;0;0;684;0;0
109751;0;40;0;0;0;0;0;760;0;0
110765;0;39;0;0;0;0;0;761;0;0
111775;0;24;0;0;0;0;0;0;0;0
112785;0;7;0;0;0;0;0;0;0;0
113792;0;11;0;0;0;0;0;0;0;0
114792;0;37;0;0;0;0;0;391;0;0
115807;0;6;0;0;0;0;0;0;0;0
116818;0;42;0;0;0;0;0;2;0;0
117832;0;38;0;0;0;0;0;84;0;0
118839;0;34;0;0;0;0;0;88;0;0
119851;0;45;0;0;0;0;0;84;0;0
120865;0;47;0;0;0;0;0;82;0;0
121864;0;33;0;87;0;0;0;655;0;0
122872;0;37;0;76;0;0;0;25;0;0
123880;0;45;0;0;0;0;0;93;0;0
124889;0;40;0;0;0;0;0;98;0;0
125888;0;44;0;0;0;0;0;656;0;0
126903;0;42;0;0;0;0;0;96;0;0
127913;0;43;0;0;0;0;0;218;0;0
128925;0;44;0;0;0;0;0;217;0;0
129936;0;54;0;0;0;0;0;207;0;0
130945;0;43;0;0;0;0;0;218;0;0
131960;0;38;0;0;0;0;0;223;0;0
132960;0;46;0;71;0;95;0;806;0;0
133962;0;38;0;0;0;0;0;223;0;0
134970;0;40;0;86;0;0;0;135;0;0
