Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
82333;63;63;0;0;0;0;0;0
83320;320;22;1;0;152;158;143;125
83324;458;152;2;0;0;158;143;125
83328;386;158;3;0;0;0;143;125
83333;268;143;4;0;0;0;0;125
83336;125;125;0;0;0;0;0;0
84320;320;22;1;0;150;152;153;123
84322;458;150;2;0;0;152;153;123
84327;388;152;3;0;0;0;153;123
84329;276;153;4;0;0;0;0;123
84334;123;123;0;0;0;0;0;0
85332;320;48;1;0;146;157;153;96
85334;432;146;2;0;0;157;153;96
85336;366;157;3;0;0;0;153;96
85338;249;153;4;0;0;0;0;96
85340;96;96;0;0;0;0;0;0
86333;320;3;1;0;143;151;149;154
86336;477;143;2;0;0;151;149;154
86345;414;151;3;0;0;0;149;154
86347;303;149;4;0;0;0;0;154
86349;154;154;0;0;0;0;0;0
87349;320;0;1;0;149;155;168;128
87351;480;149;2;0;0;155;168;128
87355;411;155;3;0;0;0;168;128
87357;296;168;4;0;0;0;0;128
87363;128;128;0;0;0;0;0;0
88362;320;0;1;0;138;161;154;147
88365;480;138;2;0;0;161;154;147
88368;422;161;3;0;0;0;154;147
88385;301;154;4;0;0;0;0;147
88388;147;147;0;0;0;0;0;0
89377;480;138;2;0;0;121;181;160
89380;422;121;3;0;0;0;181;160
89374;320;0;1;0;138;121;181;160
89394;160;160;0;0;0;0;0;0
89390;341;181;4;0;0;0;0;160
90381;320;0;1;0;138;152;153;157
90386;480;138;2;0;0;152;153;157
90396;422;152;3;0;0;0;153;157
90399;310;153;4;0;0;0;0;157
90402;157;157;0;0;0;0;0;0
91398;480;134;2;0;0;162;150;154
91395;320;0;1;0;134;162;150;154
91403;426;162;3;0;0;0;150;154
91408;304;150;4;0;0;0;0;154
91411;154;154;0;0;0;0;0;0
92398;320;0;1;0;157;147;146;150
92401;480;157;2;0;0;147;146;150
92404;403;147;3;0;0;0;146;150
92406;296;146;4;0;0;0;0;150
92408;150;150;0;0;0;0;0;0
93409;320;0;1;0;138;147;161;154
93413;480;138;2;0;0;147;161;154
93421;422;147;3;0;0;0;161;154
93425;315;161;4;0;0;0;0;154
93429;154;154;0;0;0;0;0;0
94417;320;0;1;0;156;152;145;147
94419;480;156;2;0;0;152;145;147
94425;404;152;3;0;0;0;145;147
94428;292;145;4;0;0;0;0;147
94429;147;147;0;0;0;0;0;0
95429;320;0;1;0;161;150;127;162
95432;480;161;2;0;0;150;127;162
95435;399;150;3;0;0;0;127;162
95437;289;127;4;0;0;0;0;162
95442;162;162;0;0;0;0;0;0
96442;320;0;1;0;134;159;142;165
96445;480;134;2;0;0;159;142;165
96449;426;159;3;0;0;0;142;165
96454;307;142;4;0;0;0;0;165
96461;165;165;0;0;0;0;0;0
97450;320;0;1;0;169;133;148;150
97453;480;169;2;0;0;133;148;150
97464;150;150;0;0;0;0;0;0
97456;391;133;3;0;0;0;148;150
97460;298;148;4;0;0;0;0;150
98465;320;0;1;0;142;148;139;171
98476;310;139;4;0;0;0;0;171
98470;480;142;2;0;0;148;139;171
98473;418;148;3;0;0;0;139;171
98492;171;171;0;0;0;0;0;0
99473;320;0;1;0;171;145;134;150
99476;480;171;2;0;0;145;134;150
99479;389;145;3;0;0;0;134;150
99483;284;134;4;0;0;0;0;150
99487;150;150;0;0;0;0;0;0
100483;320;0;1;0;155;152;138;155
100486;480;155;2;0;0;152;138;155
100491;405;152;3;0;0;0;138;155
100500;293;138;4;0;0;0;0;155
100509;155;155;0;0;0;0;0;0
101496;320;0;1;0;149;167;153;131
