Timestamp; Remesa; Mensajes generado en remesa; Cola Longitud; SiguienteRemesa; Total Producidos
89964;90;712;7293;1000;60093
90968;91;485;7178;1000;60578
91981;92;853;7431;1000;61431
92988;93;710;7541;1000;62141
93998;94;609;7550;1000;62750
95010;95;534;7484;1000;63284
96024;96;873;7757;1000;64157
97032;97;395;7552;1000;64552
98040;98;410;7362;1000;64962
99055;99;875;7637;1000;65837
100065;100;699;7736;1000;66536
101072;101;549;7685;1000;67085
102092;102;307;7392;1000;67392
103109;103;532;7324;1000;67924
104117;104;642;7366;1000;68566
105125;105;319;7085;1000;68885
106141;106;776;7261;1000;69661
107151;107;936;7597;1000;70597
108165;108;380;7377;1000;70977
109173;109;518;7295;1000;71495
110185;110;399;7094;1000;71894
111192;111;902;7396;1000;72796
112205;112;680;7476;1000;73476
113212;113;562;7438;1000;74038
114228;114;339;7177;1000;74377
115235;115;893;7470;1000;75270
116240;116;561;7431;1000;75831
117249;117;725;7556;1000;76556
118260;118;970;7926;1000;77526
119267;119;741;8067;1000;78267
120280;120;480;7947;1000;78747
121291;121;500;7847;1000;79247
122300;122;558;7805;1000;79805
123309;123;541;7746;1000;80346
124320;124;675;7821;1000;81021
125333;125;415;7636;1000;81436
126349;126;457;7493;1000;81893
127356;127;601;7494;1000;82494
128366;128;797;7691;1000;83291
129378;129;321;7412;1000;83612
130392;130;737;7549;1000;84349
131406;131;616;7565;1000;84965
132419;132;701;7666;1000;85666
133432;133;529;7595;1000;86195
134446;134;358;7353;1000;86553
135450;135;373;7126;1000;86926
136463;136;848;7374;1000;87774
137474;137;326;7100;1000;88100
138485;138;477;6977;1000;88577
139492;139;888;7265;1000;89465
140503;140;531;7196;1000;89996
141514;141;649;7245;1000;90645
142520;142;431;7076;1000;91076
143530;143;507;6983;1000;91583
144538;144;657;7040;1000;92240
145546;145;716;7156;1000;92956
146562;146;828;7384;1000;93784
147578;147;864;7648;1000;94648
148591;148;526;7574;1000;95174
149609;149;923;7897;1000;96097
150618;150;732;8029;1000;96829
151620;151;422;7851;1000;97251
152633;152;447;7698;1000;97698
153647;153;438;7536;1000;98136
154653;154;644;7580;1000;98780
155658;155;321;7301;1000;99101
156672;156;349;7050;1000;99450
157680;157;323;6773;1000;99773
158697;158;598;6771;1000;100371
159710;159;0;6171;1000;100371
160715;160;0;5571;1000;100371
161728;161;0;4971;1000;100371
162737;162;0;4371;1000;100371
163748;163;0;3771;1000;100371
164757;164;0;3171;1000;100371
165768;165;0;2571;1000;100371
166777;166;0;1971;1000;100371
167790;167;0;1371;1000;100371
168802;168;0;771;1000;100371
169817;169;0;171;1000;100371
170829;170;0;0;1000;100371
171842;171;0;0;1000;100371
172846;172;0;0;1000;100371
173857;173;0;0;1000;100371
174862;174;0;0;1000;100371
