Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
52000;383;383;4;0;0;0;13183;0
53007;533;71;1;0;125;180;14017;0
53009;729;125;2;0;0;180;14017;0
53011;737;180;3;0;0;0;14017;0
53013;624;624;4;0;0;0;13393;0
54017;533;72;1;0;124;179;14256;0
54020;728;124;2;0;0;179;14256;0
54021;737;179;3;0;0;0;14256;0
54023;625;625;4;0;0;0;13631;0
55027;533;51;1;0;109;146;14325;0
55030;749;109;2;0;0;146;14325;0
55032;773;146;3;0;0;0;14325;0
55034;694;694;4;0;0;0;13631;0
56038;533;58;1;0;147;216;14523;0
56040;742;147;2;0;0;216;14523;0
56042;728;216;3;0;0;0;14523;0
56044;579;579;4;0;0;0;13944;0
57040;533;21;1;0;51;74;14310;0
57042;779;51;2;0;0;74;14310;0
57044;861;74;3;0;0;0;14310;0
57046;854;854;4;0;0;0;13456;0
58047;533;46;1;0;88;119;14056;0
58049;754;88;2;0;0;119;14056;0
58051;799;119;3;0;0;0;14056;0
58054;747;747;4;0;0;0;13309;0
59057;533;102;1;0;184;260;14585;0
59059;698;184;2;0;0;260;14585;0
59061;647;260;3;0;0;0;14585;0
59063;454;454;4;0;0;0;14131;0
60068;533;34;1;0;82;118;14718;0
60071;766;82;2;0;0;118;14718;0
60073;817;118;3;0;0;0;14718;0
60075;766;766;4;0;0;0;13952;0
61079;533;42;1;0;76;123;14558;0
61081;758;76;2;0;0;123;14558;0
61083;815;123;3;0;0;0;14558;0
61085;759;759;4;0;0;0;13799;0
62088;533;22;1;0;32;51;14113;0
62090;778;32;2;0;0;51;14113;0
62092;879;51;3;0;0;0;14113;0
62095;895;895;4;0;0;0;13218;0
63089;533;25;1;0;33;79;13540;0
63091;775;33;2;0;0;79;13540;0
63094;875;79;3;0;0;0;13540;0
63097;863;863;4;0;0;0;12677;0
64090;533;47;1;0;88;151;13424;0
64093;753;88;2;0;0;151;13424;0
64095;798;151;3;0;0;0;13424;0
64097;714;714;4;0;0;0;12710;0
65099;533;78;1;0;172;265;13874;0
65101;722;172;2;0;0;265;13874;0
65103;683;265;3;0;0;0;13874;0
65105;485;485;4;0;0;0;13389;0
66107;533;33;1;0;50;63;13705;0
66109;767;50;2;0;0;63;13705;0
66111;850;63;3;0;0;0;13705;0
66113;854;854;4;0;0;0;12851;0
67115;533;30;1;0;78;136;13444;0
67117;770;78;2;0;0;136;13444;0
67121;756;756;4;0;0;0;12688;0
67119;825;136;3;0;0;0;13444;0
68124;533;48;1;0;98;144;13316;0
68126;752;98;2;0;0;144;13316;0
68128;787;144;3;0;0;0;13316;0
68130;710;710;4;0;0;0;12606;0
69125;533;96;1;0;202;279;14029;0
69128;704;202;2;0;0;279;14029;0
69131;635;279;3;0;0;0;14029;0
69132;423;423;4;0;0;0;13606;0
70137;533;106;1;0;215;319;14966;0
70139;694;215;2;0;0;319;14966;0
70141;612;319;3;0;0;0;14966;0
70144;360;360;4;0;0;0;14606;0
71140;533;59;1;0;156;205;15614;0
71144;741;156;2;0;0;205;15614;0
71145;718;205;3;0;0;0;15614;0
71147;580;580;4;0;0;0;15034;0
72143;533;36;1;0;77;139;15336;309
72145;764;77;2;0;0;139;15336;309
72148;820;139;3;0;0;0;15336;309
72149;748;748;4;0;0;0;14588;309
73145;533;47;1;0;112;149;15139;527
73147;753;112;2;0;0;149;15139;527
73149;774;149;3;0;0;0;15139;527
73151;692;692;4;0;0;0;14447;527
74154;533;113;1;0;183;307;15673;698
74156;687;183;2;0;0;307;15673;698
74159;637;307;3;0;0;0;15673;698
74160;397;397;4;0;0;0;15276;698
75160;533;41;1;0;84;105;15350;1210
75162;759;84;2;0;0;105;15350;1210
75164;808;105;3;0;0;0;15350;1210
75165;770;770;4;0;0;0;14580;1210
76164;533;76;1;0;140;233;15578;1210
76166;724;140;2;0;0;233;15578;1210
76168;717;233;3;0;0;0;15578;1210
76169;551;551;4;0;0;0;15027;1210
77176;533;45;1;0;67;92;15589;1210
77178;755;67;2;0;0;92;15589;1210
77180;821;92;3;0;0;0;15589;1210
77181;796;796;4;0;0;0;14793;1210
78178;533;43;1;0;57;98;15199;1210
78180;757;57;2;0;0;98;15199;1210
78182;833;98;3;0;0;0;15199;1210
78184;802;802;4;0;0;0;14397;1210
79191;533;39;1;0;79;133;14944;1210
79194;761;79;2;0;0;133;14944;1210
79197;815;133;3;0;0;0;14944;1210
79198;749;749;4;0;0;0;14195;1210
80201;533;78;1;0;135;206;15254;1210
80204;722;135;2;0;0;206;15254;1210
80206;720;206;3;0;0;0;15254;1210
80208;581;581;4;0;0;0;14673;1210
81216;533;91;1;0;198;299;16085;1210
81219;709;198;2;0;0;299;16085;1210
81222;644;299;3;0;0;0;16085;1210
81225;412;412;4;0;0;0;15673;1210
82222;533;100;1;0;188;294;17091;1210
82225;700;188;2;0;0;294;17091;1210
82227;645;294;3;0;0;0;17091;1210
82229;418;418;4;0;0;0;16673;1210
83235;533;64;1;0;109;146;17476;1210
83238;736;109;2;0;0;146;17476;1210
83240;760;146;3;0;0;0;17476;1210
83242;681;681;4;0;0;0;16795;1210
84246;533;68;1;0;112;204;17671;1210
84249;732;112;2;0;0;204;17671;1210
84250;753;204;3;0;0;0;17671;1210
84252;616;616;4;0;0;0;17055;1210
85251;533;39;1;0;96;135;17324;1493
85254;761;96;2;0;0;135;17324;1493
85257;798;135;3;0;0;0;17324;1493
85260;730;730;4;0;0;0;16594;1493
86258;533;29;1;0;48;93;16989;1493
86261;771;48;2;0;0;93;16989;1493
86262;856;93;3;0;0;0;16989;1493
86264;830;830;4;0;0;0;16159;1493
87262;533;53;1;0;81;140;16838;1493
87265;747;81;2;0;0;140;16838;1493
87267;799;140;3;0;0;0;16838;1493
87269;726;726;4;0;0;0;16112;1493
88271;533;29;1;0;54;92;16568;1493
88273;771;54;2;0;0;92;16568;1493
88276;850;92;3;0;0;0;16568;1493
88277;825;825;4;0;0;0;15743;1493
89278;533;63;1;0;141;241;16119;2078
89281;737;141;2;0;0;241;16119;2078
89283;729;241;3;0;0;0;16119;2078
89286;555;555;4;0;0;0;15564;2078
90288;533;79;1;0;184;242;16249;2603
90291;721;184;2;0;0;242;16249;2603
90294;670;242;3;0;0;0;16249;2603
90296;495;495;4;0;0;0;15754;2603
91297;533;29;1;0;76;93;16160;2660
91300;771;76;2;0;0;93;16160;2660
91302;828;93;3;0;0;0;16160;2660
91304;802;802;4;0;0;0;15358;2660
92298;533;39;1;0;71;119;15812;2660
92299;761;71;2;0;0;119;15812;2660
92301;823;119;3;0;0;0;15812;2660
92303;771;771;4;0;0;0;15041;2660
93301;533;86;1;0;171;283;16199;2660
93304;714;171;2;0;0;283;16199;2660
93306;676;283;3;0;0;0;16199;2660
93308;460;460;4;0;0;0;15739;2660
94313;533;26;1;0;44;84;15618;3168
94314;774;44;2;0;0;84;15618;3168
94316;863;84;3;0;0;0;15618;3168
94318;846;846;4;0;0;0;14772;3168
95318;533;84;1;0;152;199;15649;3168
95322;716;152;2;0;0;199;15649;3168
95324;697;199;3;0;0;0;15649;3168
95327;565;565;4;0;0;0;15084;3168
96326;533;40;1;0;77;121;15404;3357
96329;760;77;2;0;0;121;15404;3357
96331;816;121;3;0;0;0;15404;3357
96333;762;762;4;0;0;0;14642;3357
97330;533;89;1;0;199;281;16013;3377
97333;711;199;2;0;0;281;16013;3377
97335;645;281;3;0;0;0;16013;3377
97338;431;431;4;0;0;0;15582;3377
98337;533;86;1;0;194;265;16933;3377
98339;714;194;2;0;0;265;16933;3377
98342;653;265;3;0;0;0;16933;3377
98344;455;455;4;0;0;0;16478;3377
99347;533;100;1;0;198;287;17744;3444
99351;700;198;2;0;0;287;17744;3444
99354;635;287;3;0;0;0;17744;3444
99356;415;415;4;0;0;0;17329;3444
100359;533;39;1;0;86;124;17843;3444
100361;761;86;2;0;0;124;17843;3444
100363;808;124;3;0;0;0;17843;3444
100365;751;751;4;0;0;0;17092;3444
101372;533;29;1;0;40;72;15530;5376
101375;771;40;2;0;0;72;15530;5376
101378;864;72;3;0;0;0;15530;5376
101379;859;859;4;0;0;0;14671;5376
102377;533;115;1;0;165;265;15896;5376
102380;685;165;2;0;0;265;15896;5376
102381;653;265;3;0;0;0;15896;5376
102383;455;455;4;0;0;0;15441;5376
103380;533;95;1;0;210;292;16844;5376
103383;705;210;2;0;0;292;16844;5376
103386;628;292;3;0;0;0;16844;5376
103388;403;403;4;0;0;0;16441;5376
104393;533;17;1;0;63;79;16480;5761
104396;783;63;2;0;0;79;16480;5761
104397;853;79;3;0;0;0;16480;5761
104400;841;841;4;0;0;0;15639;5761
105399;533;44;1;0;87;148;16190;5840
105400;756;87;2;0;0;148;16190;5840
105402;802;148;3;0;0;0;16190;5840
105404;721;721;4;0;0;0;15469;5840
106404;533;83;1;0;175;226;16617;5840
106406;717;175;2;0;0;226;16617;5840
106408;675;226;3;0;0;0;16617;5840
106410;516;516;4;0;0;0;16101;5840
107418;533;89;1;0;137;235;17182;5840
107422;707;235;3;0;0;0;17182;5840
107421;711;137;2;0;0;235;17182;5840
107424;539;539;4;0;0;0;16643;5840
108428;533;50;1;0;109;144;17324;5840
108433;774;144;3;0;0;0;17324;5840
108431;750;109;2;0;0;144;17324;5840
108435;697;697;4;0;0;0;16627;5840
109429;533;106;1;0;176;262;17851;5858
109432;694;176;2;0;0;262;17851;5858
109435;651;262;3;0;0;0;17851;5858
109438;456;456;4;0;0;0;17395;5858
110432;533;81;1;0;173;271;17821;6612
110434;719;173;2;0;0;271;17821;6612
110437;679;271;3;0;0;0;17821;6612
110439;475;475;4;0;0;0;17346;6612
111440;533;91;1;0;179;230;18419;6612
111442;709;179;2;0;0;230;18419;6612
111443;663;230;3;0;0;0;18419;6612
111445;500;500;4;0;0;0;17919;6612
112445;533;35;1;0;78;105;18441;6612
112447;765;78;2;0;0;105;18441;6612
112449;820;105;3;0;0;0;18441;6612
112451;782;782;4;0;0;0;17659;6612
113455;533;110;1;0;196;310;18995;6660
113458;690;196;2;0;0;310;18995;6660
113462;627;310;3;0;0;0;18995;6660
113464;384;384;4;0;0;0;18611;6660
114470;533;43;1;0;77;144;19246;6660
114471;757;77;2;0;0;144;19246;6660
114473;813;144;3;0;0;0;19246;6660
114474;736;736;4;0;0;0;18510;6660
115477;533;98;1;0;207;286;19794;6660
115479;702;207;2;0;0;286;19794;6660
115481;628;286;3;0;0;0;19794;6660
115483;409;409;4;0;0;0;19385;6660
116484;533;46;1;0;62;107;19370;7174
116486;754;62;2;0;0;107;19370;7174
116487;825;107;3;0;0;0;19370;7174
116489;785;785;4;0;0;0;18585;7174
117496;533;57;1;0;100;152;18916;7534
117499;743;131;2;8;0;184;19062;7534
117501;745;184;3;8;0;0;19062;7534
117503;628;628;4;8;0;0;18434;7534
118511;533;65;1;0;83;116;18457;8161
118515;735;185;2;47;0;245;19166;8161
118517;683;245;3;47;0;0;19166;8161
118519;505;505;4;47;0;0;18661;8161
119513;533;75;1;0;33;38;18130;8920
119517;725;33;2;0;0;38;18130;8920
