Timestamp; Solicitados; Recuperados
215324;1000;962;58;110;120;674
215832;1000;1000;67;92;143;698
216338;1000;563;27;54;78;404
216846;1000;473;27;46;68;332
217357;1000;848;54;60;121;613
217864;1000;0;0;0;0;0
218368;1000;487;21;41;77;348
218880;1000;431;18;46;65;302
219396;1000;453;22;59;60;312
219895;1000;0;0;0;0;0
220400;1000;911;53;102;149;607
220900;1000;337;15;25;65;232
221416;1000;485;24;47;70;344
221929;1000;793;42;85;110;556
222430;1000;577;33;67;90;387
222936;1000;0;0;0;0;0
223442;1000;407;19;36;57;295
223947;1000;1000;50;90;154;706
224452;1000;1000;60;110;169;661
224964;1000;902;38;87;140;637
225466;1000;855;58;89;118;590
225968;1000;736;39;73;107;517
226473;1000;1000;57;107;143;693
226974;1000;47;2;5;9;31
227491;1000;779;36;86;119;538
227998;1000;784;31;85;129;539
228512;1000;632;28;67;98;439
229014;1000;856;38;84;134;600
229527;1000;455;23;49;87;296
230030;1000;612;25;50;97;440
230545;1000;0;0;0;0;0
231048;1000;317;13;30;56;218
231551;1000;763;36;71;120;536
232057;1000;912;45;97;138;632
232564;1000;988;65;104;136;683
233069;1000;1000;59;89;158;694
233575;1000;1000;47;90;146;717
234078;1000;1000;51;98;135;716
234583;1000;1000;47;104;150;699
235086;1000;838;46;90;113;589
235588;1000;379;19;33;44;283
236088;1000;0;0;0;0;0
236598;1000;674;36;74;105;459
237103;1000;546;31;56;75;384
237611;1000;588;26;61;86;415
238119;1000;934;58;89;136;651
238622;1000;977;58;101;136;682
239125;1000;536;29;48;88;371
239631;1000;707;29;62;94;522
240146;1000;817;48;80;124;565
240649;1000;761;44;76;99;542
241160;1000;736;28;63;119;526
241664;1000;0;0;0;0;0
242171;1000;1000;54;89;165;692
242675;1000;860;42;82;133;603
243179;1000;0;0;0;0;0
243680;1000;782;39;59;120;564
244183;1000;0;0;0;0;0
244697;1000;1000;46;109;150;695
245211;1000;484;21;47;66;350
245710;1000;908;61;96;155;596
246225;1000;0;0;0;0;0
246740;1000;926;44;99;125;658
247243;1000;1000;58;102;164;676
247741;1000;886;42;86;150;608
248242;1000;0;0;0;0;0
248744;1000;529;35;52;80;362
249247;1000;1000;51;102;160;687
249748;1000;1000;51;90;143;716
250254;1000;1000;53;108;146;693
250758;1000;1000;55;88;156;701
251272;1000;1000;49;110;143;698
251777;1000;892;49;100;132;611
252279;1000;401;12;49;48;292
252792;1000;0;0;0;0;0
253294;1000;787;35;83;133;536
253794;1000;594;34;54;84;422
254307;1000;0;0;0;0;0
254824;1000;1000;43;101;166;690
255335;1000;1000;40;103;188;669
255835;1000;387;18;48;60;261
256340;1000;0;0;0;0;0
256843;1000;102;3;14;18;67
257344;1000;0;0;0;0;0
257849;1000;191;12;20;32;127
258355;1000;63;2;9;5;47
258857;1000;227;17;17;39;154
259373;1000;0;0;0;0;0
259876;1000;253;10;29;39;175
260383;1000;358;16;33;49;260
260893;1000;297;15;28;45;209
261399;1000;171;8;15;18;130
261906;1000;0;0;0;0;0
262416;1000;91;4;5;17;65
262921;1000;103;2;16;19;66
263424;1000;0;0;0;0;0
263933;1000;129;5;14;26;84
264437;1000;350;16;35;41;258
264940;1000;0;0;0;0;0
265442;1000;94;1;4;22;67
265945;1000;0;0;0;0;0
266452;1000;130;8;9;21;92
266959;1000;165;13;14;28;110
267465;1000;238;18;26;33;161
267966;1000;63;3;7;10;43
268477;1000;101;2;10;13;76
268985;1000;0;0;0;0;0
269490;1000;199;11;18;19;151
269995;1000;0;0;0;0;0
270503;1000;308;16;29;37;226
271014;1000;134;14;14;21;85
271521;1000;187;11;25;18;133
272024;1000;180;15;16;26;123
272529;1000;193;9;20;34;130
273033;1000;0;0;0;0;0
273540;1000;214;12;20;34;148
274041;1000;282;20;22;39;201
274544;1000;0;0;0;0;0
275049;1000;132;5;10;19;98
275555;1000;125;5;10;25;85
276062;1000;0;0;0;0;0
276579;1000;62;0;7;6;49
277084;1000;97;5;10;14;68
