Timestamp; Q1; Q2; Q3; Q4; Expirados
109801;0;0;0;16641;6612
109902;51;101;160;17319;6612
110404;81;173;271;17821;6612
110777;0;0;0;17346;6612
110906;59;110;154;18023;6612
111412;91;179;230;18419;6612
111786;0;0;0;17919;6612
111914;35;78;105;18441;6612
112416;35;78;105;18441;6612
112798;0;0;0;17611;6660
112931;47;101;154;18309;6660
113428;110;196;310;18995;6660
113801;0;0;0;18611;6660
113929;43;77;144;19246;6660
114441;43;77;144;19246;6660
114801;0;0;0;18510;6660
114950;56;116;155;19183;6660
115467;98;207;286;19794;6660
115833;0;0;0;18871;7174
115971;46;62;107;19370;7174
116470;46;62;107;19370;7174
116826;0;0;0;18225;7534
116987;57;100;152;18916;7534
117498;8;131;184;19062;7534
117838;8;0;0;17807;8161
118002;65;83;116;18457;8161
118514;47;185;245;19166;8161
118853;47;0;0;17902;8920
119013;75;33;38;18130;8920
119517;0;33;38;18130;8920
119824;0;0;0;17276;8920
120029;52;102;138;17982;8920
120529;0;0;0;17274;8920
120829;0;0;0;17274;8920
121038;47;105;138;17984;8920
121533;55;103;149;17967;8920
121832;55;103;149;17967;8920
122040;67;143;193;18204;8920
122540;19;60;266;18593;8920
122895;19;60;0;16866;10123
123054;45;105;75;17194;10123
123567;48;119;154;17098;10123
123846;48;119;154;17098;10123
124070;60;154;181;17298;10123
124571;31;87;121;17286;10123
124847;31;87;121;17286;10123
125085;61;176;237;17807;10123
125585;44;93;137;17850;10123
125861;44;93;137;17850;10123
126101;79;172;233;18382;10123
126601;0;0;0;17866;10123
126885;0;0;0;17431;10558
127105;55;102;154;18068;10558
127613;0;0;0;17379;10558
127877;0;0;0;17379;10558
128121;59;92;156;18052;10558
128633;47;85;125;17942;10558
128896;47;85;125;17583;10917
129135;47;85;125;17583;10917
129638;22;41;55;17102;10917
129903;22;41;55;16635;11384
130139;35;86;114;16891;11384
130654;43;86;136;16662;11384
130931;43;86;136;15852;12194
131168;79;134;222;16286;12194
131680;42;91;135;16332;12194
131912;42;91;135;16332;12194
132183;69;165;213;16730;12194
132694;0;0;0;16177;12194
132950;0;0;0;15526;12845
