Timestamp; Pedidos ; Extraidos; Quedan
463590;600;600;105360
464605;600;600;105480
465616;600;600;105056
466624;600;600;104695
467639;600;600;104242
468645;600;600;103845
469656;600;600;103335
470659;600;600;103043
471665;600;600;102534
472666;600;600;102150
473666;600;600;101721
474671;600;600;101585
475681;600;600;101207
476686;600;600;100917
477695;600;600;100516
478703;600;600;100221
479715;600;600;99949
480717;600;600;99777
481731;600;600;99747
482744;600;600;99215
483756;600;600;98730
484760;600;600;98407
485764;600;600;98153
486770;600;600;98064
487773;600;600;97539
488782;600;600;97240
489787;600;600;96882
490787;600;600;96550
491792;600;600;96301
492793;600;600;96106
493807;600;600;95642
494819;600;600;95260
495830;600;600;95029
496844;600;600;94794
497853;600;600;94308
498854;600;600;93902
499862;600;600;93638
500869;600;600;93747
501871;600;600;93576
502884;600;600;93976
503886;600;600;94376
504892;600;600;94776
505898;600;600;95176
506898;600;600;95576
507912;600;600;95976
508927;600;600;96376
509933;600;600;96776
510937;600;600;97176
511951;600;600;97576
512962;600;600;97976
513975;600;600;98376
514991;600;600;98776
515995;600;600;99176
517004;600;600;99576
518010;600;600;99976
519018;600;600;100376
520022;600;600;100776
521029;600;600;101176
522030;600;600;101576
523034;600;600;101976
524038;600;600;102376
525049;600;600;102776
526056;600;600;103176
527065;600;600;103576
528077;600;600;103976
529086;600;600;104376
530091;600;600;104776
531100;600;600;105176
532114;600;600;105576
533116;600;600;105976
534121;600;600;106376
535136;600;600;106776
536142;600;600;107176
537146;600;600;107576
538163;600;600;107976
539168;600;600;108376
540176;600;600;108776
541181;600;600;109176
542185;600;600;109576
543187;600;600;109976
544192;600;600;110376
545198;600;600;110776
546204;600;600;111176
547205;600;600;111576
548219;600;600;111976
549233;600;600;112376
550247;600;600;112776
551247;600;600;113176
552252;600;600;113576
553258;600;600;113976
554259;600;600;114376
555263;600;600;114776
556271;600;600;115176
557275;600;600;115576
558279;600;600;115976
559288;600;600;116376
560297;600;600;116776
561307;600;600;117176
562310;600;600;117576
563313;600;600;117976
564315;600;600;118376
565326;600;600;118776
566336;600;600;119176
567344;600;600;119576
568355;600;600;119976
569369;600;600;120376
570380;600;600;120776
571385;600;600;121176
572388;600;600;121576
573394;600;600;121976
574406;600;600;122376
575407;600;600;122776
576408;600;600;123176
577415;600;600;123576
578418;600;600;123976
579418;600;600;124376
580427;600;600;124776
581436;600;600;125176
582443;600;600;125576
583449;600;600;125976
584451;600;600;126376
585452;600;600;126776
